Data;Godzina;Zapotrzebowanie;Wiatr;PV;Rezerwa;Data_godzina;RCE
2023-09-24;1;12970;2871;0;1208;2023-09-24 01:00:00;460,05
2023-09-24;2;12218;2798;0;1137;2023-09-24 02:00:00;433,49
2023-09-24;3;11526;2626;0;1107;2023-09-24 03:00:00;437,57
2023-09-24;4;11379;2312;0;1118;2023-09-24 04:00:00;457,8
2023-09-24;5;11421;2246;0;1118;2023-09-24 05:00:00;460,94
2023-09-24;6;11411;1832;0;1088;2023-09-24 06:00:00;436,82
2023-09-24;7;11628;1711;18;1102;2023-09-24 07:00:00;442,35
2023-09-24;8;12155;1532;812;1184;2023-09-24 08:00:00;452,12
2023-09-24;9;12498;1147;2168;1297;2023-09-24 09:00:00;439,03
2023-09-24;10;12597;513;3636;1421;2023-09-24 10:00:00;435,53
2023-09-24;11;12297;171;4702;1483;2023-09-24 11:00:00;441,67
2023-09-24;12;11436;414;5840;1454;2023-09-24 12:00:00;385,51
2023-09-24;13;11876;716;5730;1486;2023-09-24 13:00:00;386,63
2023-09-24;14;12366;640;5322;1516;2023-09-24 14:00:00;423,47
2023-09-24;15;11796;581;5627;1476;2023-09-24 15:00:00;455,43
2023-09-24;16;11561;518;4855;1400;2023-09-24 16:00:00;490,97
2023-09-24;17;12313;373;3501;1366;2023-09-24 17:00:00;498,58
2023-09-24;18;13671;284;1695;1377;2023-09-24 18:00:00;536,12
2023-09-24;19;15081;221;168;1369;2023-09-24 19:00:00;629,02
2023-09-24;20;15817;316;0;1457;2023-09-24 20:00:00;686,35
2023-09-24;21;15525;519;0;1343;2023-09-24 21:00:00;640,79
2023-09-24;22;14597;672;0;1265;2023-09-24 22:00:00;539,09
2023-09-24;23;13736;1097;0;1195;2023-09-24 23:00:00;480,52
2023-09-24;24;12777;1618;0;1143;2023-09-25 00:00:00;475,06
2023-09-25;1;12539;1891;0;1273;2023-09-25 01:00:00;474,04
2023-09-25;2;12224;1904;0;1247;2023-09-25 02:00:00;459,19
2023-09-25;3;12098;1973;0;1233;2023-09-25 03:00:00;454,67
2023-09-25;4;12114;2411;0;1232;2023-09-25 04:00:00;453,79
2023-09-25;5;12569;2826;0;1283;2023-09-25 05:00:00;459,45
2023-09-25;6;13617;3296;0;1330;2023-09-25 06:00:00;481,78
2023-09-25;7;15819;3292;47;1525;2023-09-25 07:00:00;584,55
2023-09-25;8;17175;2961;1074;1652;2023-09-25 08:00:00;677,29
2023-09-25;9;17491;2044;2530;1788;2023-09-25 09:00:00;671,94
2023-09-25;10;16615;729;4581;1830;2023-09-25 10:00:00;574,22
2023-09-25;11;15353;640;6244;1855;2023-09-25 11:00:00;499,2
2023-09-25;12;15063;776;7205;1871;2023-09-25 12:00:00;494,92
2023-09-25;13;15112;886;7211;1876;2023-09-25 13:00:00;494,93
2023-09-25;14;15810;787;6248;1892;2023-09-25 14:00:00;495,13
2023-09-25;15;16023;701;5296;1885;2023-09-25 15:00:00;504,6
2023-09-25;16;16914;694;3805;1846;2023-09-25 16:00:00;600,91
2023-09-25;17;17824;656;2242;1816;2023-09-25 17:00:00;673,18
2023-09-25;18;18495;742;914;1749;2023-09-25 18:00:00;740,58
2023-09-25;19;19130;937;78;1839;2023-09-25 19:00:00;892,94
2023-09-25;20;20100;1540;0;2006;2023-09-25 20:00:00;904,83
2023-09-25;21;19651;2033;0;1880;2023-09-25 21:00:00;885,74
2023-09-25;22;17775;2367;0;1559;2023-09-25 22:00:00;700,51
2023-09-25;23;15994;2603;0;1516;2023-09-25 23:00:00;577,16
2023-09-25;24;14972;2568;0;1500;2023-09-26 00:00:00;502,32
2023-09-26;1;13969;2380;0;1467;2023-09-26 01:00:00;496,09
2023-09-26;2;13962;1678;0;1413;2023-09-26 02:00:00;482,57
2023-09-26;3;14022;1080;0;1380;2023-09-26 03:00:00;472,76
2023-09-26;4;14158;778;0;1376;2023-09-26 04:00:00;473,21
2023-09-26;5;14462;700;0;1399;2023-09-26 05:00:00;479,23
2023-09-26;6;15117;564;0;1475;2023-09-26 06:00:00;498,87
2023-09-26;7;16621;603;31;1632;2023-09-26 07:00:00;680,12
